name,rating,reviews,lat,lng,address,types,district,Import_Renda_Bruta_€,Seccio_Censal
Sartoria Panatieri,4.3,4279,41.39717460000001,2.1649178,"Carrer de Provença, 330, L'Eixample, 08037 Barcelona, Spain","pizza_restaurant, meal_delivery, meal_takeaway, food_delivery, restaurant, food_store, food, point_of_interest, store, establishment",,,
La Flauta | Rambla de Catalunya,4.5,3257,41.3928668,2.1607347,"Rambla de Catalunya, 91, Eixample, 08008 Barcelona, Spain","restaurant, food, point_of_interest, establishment",,,
Botafumeiro,4.4,8330,41.4004237,2.1546385999999997,"Carrer Gran de Gràcia, 81, Gràcia, 08012 Barcelona, Spain","seafood_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
Vivo Tapas,4.7,13206,41.3951663,2.1596284999999997,"Carrer del Rosselló, 255, Eixample, 08008 Barcelona, Spain","mediterranean_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
Guanabara,4.2,7169,41.395474799999995,2.1710722,"Carrer del Consell de Cent, 403, L'Eixample, 08009 Barcelona, Spain","brazilian_restaurant, restaurant, food, point_of_interest, establishment",,,
Parking Pizza | Passeig Sant Joan,4.4,7220,41.396311,2.1741056999999997,"Pg. de St. Joan, 56, L'Eixample, 08009 Barcelona, Spain","pizza_restaurant, italian_restaurant, restaurant, food, point_of_interest, establishment",,,
Alice Secret Garden,3.9,4624,41.390278599999995,2.1708714,"Carrer de Pau Claris, 90, L'Eixample, 08010 Barcelona, Spain","brunch_restaurant, cafeteria, bar, restaurant, food, point_of_interest, establishment",,,
CASA SEAT,4.3,3776,41.3966338,2.1585626,"Pg. de Gràcia, 109, Gràcia, 08008 Barcelona, Spain","cultural_landmark, cultural_center, car_dealer, restaurant, food, point_of_interest, store, establishment",,,
Opium Barcelona Restaurant and Club,3.6,7841,41.3853365,2.1967534,"Pg. Marítim de la Barceloneta, 34, Ciutat Vella, 08003 Barcelona, Spain","night_club, bar, restaurant, food, point_of_interest, establishment",,,
Pacha Barcelona,3.2,8550,41.3857442,2.1970635,"Carrer de Ramon Trias Fargas, 2, Ciutat Vella, 08005 Barcelona, Spain","night_club, bar, restaurant, food, point_of_interest, establishment",,,
L'Ovella Negra | Marina,4.2,9082,41.3958581,2.1902418,"Carrer de Zamora, 78, Sant Martí, 08018 Barcelona, Spain","bar_and_grill, bar, restaurant, food, point_of_interest, establishment",,,
Maná 75,4.4,6594,41.368862,2.1882694,"Pg. de Joan de Borbó, 101, Ciutat Vella, 08039 Barcelona, Spain","mediterranean_restaurant, seafood_restaurant, spanish_restaurant, meal_delivery, food_delivery, korean_restaurant, restaurant, food, event_venue, point_of_interest, establishment",,,
Salamanca,4.0,29137,41.3786175,2.191189,"Carrer de Pepe Rubianes, 34, Ciutat Vella, 08003 Barcelona, Spain","seafood_restaurant, restaurant, food, point_of_interest, establishment",,,
Arenas de Barcelona,4.2,66310,41.3763031,2.1493854999999997,"Gran Via de les Corts Catalanes, 385, L'Eixample, 08015 Barcelona, Spain","shopping_mall, meal_takeaway, movie_theater, amusement_center, jewelry_store, supermarket, grocery_store, spanish_restaurant, food_store, clothing_store, restaurant, food, store, point_of_interest, establishment",,,
El Bosc de Les Fades,4.4,16493,41.3771786,2.1773874,"Passatge de la Banca, 7, Ciutat Vella, 08002 Barcelona, Spain","bar, coffee_shop, cafe, food_store, restaurant, food, store, point_of_interest, establishment",,,
Xurreria Laietana,4.7,3958,41.3864026,2.1756892999999997,"Via Laietana, 46, Ciutat Vella, 08003 Barcelona, Spain","coffee_shop, breakfast_restaurant, dessert_shop, confectionery, cafe, food_store, restaurant, food, store, point_of_interest, establishment",,,
Can Paixano,4.6,9239,41.381813699999995,2.1833746,"Carrer de la Reina Cristina, 7, Ciutat Vella, 08003 Barcelona, Spain","spanish_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
Fàbrica Moritz Barcelona,4.3,13498,41.382674,2.1633522,"Rda. de Sant Antoni, 41, L'Eixample, 08011 Barcelona, Spain","bar, restaurant, food, point_of_interest, establishment",,,
Bar del Pla,4.4,5261,41.385603,2.1800143999999997,"Carrer de Montcada, 2, Ciutat Vella, 08003 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
McDonald's,3.6,3398,41.405,2.19089,"Avenida Diagonal, 188 Centro Comercial, Les Glories, Local 201, Sant Martí, 08018 Barcelona, Spain","fast_food_restaurant, restaurant, food, point_of_interest, establishment",,,
Hotel ILUNION Barcelona,4.2,3977,41.3990936,2.202111,"Carrer de Ramon Turró, 196, 198, Sant Martí, 08005 Barcelona, Spain","hotel, lodging, event_venue, restaurant, food, point_of_interest, establishment",,,
Sallès Hotel Pere IV,4.0,2475,41.3969121,2.1923528,"Carrer de Pallars, 128, Sant Martí, 08018 Barcelona, Spain","hotel, mediterranean_restaurant, spa, lodging, bar, sports_complex, gym, massage, sports_activity_location, restaurant, food, health, point_of_interest, establishment",,,
Xiringuito Escribà,4.2,8297,41.3935386,2.2053562,"Av. del Litoral, 62, Sant Martí, 08005 Barcelona, Spain","restaurant, mediterranean_restaurant, food, point_of_interest, establishment",,,
Hotel Best 4 Barcelona,4.0,1802,41.3960002,2.2008581,"Carrer del Doctor Trueta, 164, Sant Martí, 08005 Barcelona, Spain","hotel, parking, lodging, bar, restaurant, food, point_of_interest, establishment",,,
Hotel Best Front Maritim Barcelona,3.8,1727,41.403759699999995,2.2137515,"Passeig de Garcia Fària, 69, Sant Martí, 08019 Barcelona, Spain","hotel, parking, wedding_venue, lodging, bar, sports_complex, gym, event_venue, sports_activity_location, restaurant, food, health, point_of_interest, establishment",,,
LITTLE FERN,4.7,2496,41.4023437,2.1975263,"Carrer de Pere IV, 168, Sant Martí, 08005 Barcelona, Spain","brunch_restaurant, vegetarian_restaurant, breakfast_restaurant, restaurant, coffee_shop, cafe, food_store, food, point_of_interest, store, establishment",,,
Restaurant Hiro,4.1,1465,41.402228,2.1899743,"Carrer de Bolívia, 35-37-39, Sant Martí, 08018 Barcelona, Spain","japanese_restaurant, asian_restaurant, sushi_restaurant, buffet_restaurant, restaurant, food, point_of_interest, establishment",,,
Can Fisher Restaurante playa Bogatell,4.2,4924,41.394642,2.2062429999999997,"Av. del Litoral, 64, Sant Martí, 08005 Barcelona, Spain","seafood_restaurant, mediterranean_restaurant, bar, spanish_restaurant, korean_restaurant, restaurant, food, point_of_interest, establishment",,,
Racó de la Vila,4.3,5838,41.3974007,2.1989327999999997,"Carrer de la Ciutat de Granada, 33, Sant Martí, 08005 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
T.44 - TAULAT 44,4.5,833,41.398827,2.2050576000000004,"Carrer del Taulat, 44, Sant Martí, 08005 Barcelona, Spain","coffee_shop, dog_cafe, brunch_restaurant, restaurant, cafe, food_store, food, point_of_interest, store, establishment",,,
Sonora Sport Tavern,4.1,4411,41.397880099999995,2.1899704,"Carrer de Pamplona, 96, Sant Martí, 08018 Barcelona, Spain","hamburger_restaurant, bar_and_grill, bar, event_venue, american_restaurant, restaurant, food, point_of_interest, establishment",,,
Xiroi,4.2,6475,41.3916389,2.203437,"Passeig Marítim de la Nova Icària, 38, Sant Martí, 08005 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
D9 al Poblenou,4.0,1861,41.3967953,2.1921231999999997,"Carrer de Pallars, 122, Sant Martí, 08016 Barcelona, Spain","hamburger_restaurant, bar, american_restaurant, restaurant, food, point_of_interest, establishment",,,
Honest Greens Westfield Glòries,4.4,1605,41.4051122,2.1922726999999997,"Av. Diagonal, 208, Sant Martí, 08018 Barcelona, Spain","restaurant, vegan_restaurant, vegetarian_restaurant, mediterranean_restaurant, food, point_of_interest, establishment",,,
La Marea,4.7,4649,41.4016592,2.2109466,"Passeig de Garcia Fària, 33, Sant Martí, 08005 Barcelona, Spain","seafood_restaurant, restaurant, food, point_of_interest, establishment",,,
Blu Bar,4.4,4152,41.398387199999995,2.2045558,"Rambla del Poblenou, 11, Sant Martí, 08005 Barcelona, Spain","vegan_restaurant, vegetarian_restaurant, pizza_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
Tierra Burrito Bar,4.4,1198,41.401899,2.1885927,"Carrer d'Àvila, 171, Sant Martí, 08018 Barcelona, Spain","american_restaurant, restaurant, food, point_of_interest, establishment",,,
